Genus,species,temp,Percent change
Hemigrapsus,oregonensis,14 C,334.5252774
Hemigrapsus,oregonensis,14 C,436.6101695
Hemigrapsus,oregonensis,14 C,1394.491018
Hemigrapsus,oregonensis,14 C,377.4509804
Hemigrapsus,oregonensis,14 C,660.1995565
Hemigrapsus,oregonensis,24 C,538.5809313
Hemigrapsus,oregonensis,24 C,461.487965
Hemigrapsus,oregonensis,24 C,621.7248908
Hemigrapsus,oregonensis,24 C,688.1967213
Hemigrapsus,oregonensis,24 C,436.1204013
Blank,,14 C,10.58688147
Blank,,14 C,1.304347826
Blank,,24 C,7.407407407
Blank,,24 C,9.346846847
Carcinus,maenus,14 C,244.5358402
Carcinus,maenus,14 C,241.4549654
Carcinus,maenus,24 C,267.45
Carcinus,maenus,24 C,289.243