Genus,Time,Crab ID,Weight,Fluorescence,Normal Fluor
Hemigrapsus,0,1,1.32,811,614.3939394
Hemigrapsus,10,1,1.32,1271,962.8787879
Hemigrapsus,20,1,1.32,1799,1362.878788
Hemigrapsus,30,1,1.32,1990,1507.575758
Hemigrapsus,40,1,1.32,2677,2028.030303
Hemigrapsus,50,1,1.32,2874,2177.272727
Hemigrapsus,60,1,1.32,3524,2669.69697
Hemigrapsus,0,2,1.38,885,641.3043478
Hemigrapsus,10,2,1.38,1460,1057.971014
Hemigrapsus,20,2,1.38,2033,1473.188406
Hemigrapsus,30,2,1.38,2595,1880.434783
Hemigrapsus,40,2,1.38,3269,2368.84058
Hemigrapsus,50,2,1.38,3672,2660.869565
Hemigrapsus,60,2,1.38,4749,3441.304348
Hemigrapsus,0,3,1.82,835,458.7912088
Hemigrapsus,10,3,1.82,3136,1723.076923
Hemigrapsus,20,3,1.82,5093,2798.351648
Hemigrapsus,30,3,1.82,6729,3697.252747
Hemigrapsus,40,3,1.82,8527,4685.164835
Hemigrapsus,50,3,1.82,9168,5037.362637
Hemigrapsus,60,3,1.82,12479,6856.593407
Hemigrapsus,0,4,1.06,918,866.0377358
Hemigrapsus,10,4,1.06,1371,1293.396226
Hemigrapsus,20,4,1.06,2078,1960.377358
Hemigrapsus,30,4,1.06,2697,2544.339623
Hemigrapsus,40,4,1.06,3117,2940.566038
Hemigrapsus,50,4,1.06,3603,3399.056604
Hemigrapsus,60,4,1.06,4383,4134.90566
Hemigrapsus,0,5,2.14,902,421.4953271
Hemigrapsus,10,5,2.14,1615,754.6728972
Hemigrapsus,20,5,2.14,2778,1298.130841
Hemigrapsus,30,5,2.14,3780,1766.35514
Hemigrapsus,40,5,2.14,4920,2299.065421
Hemigrapsus,50,5,2.14,5729,2677.102804
Hemigrapsus,60,5,2.14,6857,3204.205607
Blank,0,,8,888,111
Blank,10,,8,892,111.5
Blank,20,,8,941,117.625
Blank,30,,8,952,119
Blank,40,,8,971,121.375
Blank,50,,8,2703,337.875
Blank,60,,8,971,121.375
Hemigrapsus,0,6,1.67,902,540.1197605
Hemigrapsus,10,6,1.67,1374,822.754491
Hemigrapsus,20,6,1.67,2542,1522.155689
Hemigrapsus,30,6,1.67,3411,2042.51497
Hemigrapsus,40,6,1.67,4242,2540.11976
Hemigrapsus,50,6,1.67,5019,3005.389222
Hemigrapsus,60,6,1.67,5760,3449.101796
Hemigrapsus,0,7,1.57,914,582.1656051
Hemigrapsus,10,7,1.57,1597,1017.197452
Hemigrapsus,20,7,1.57,2346,1494.267516
Hemigrapsus,30,7,1.57,2996,1908.280255
Hemigrapsus,40,7,1.57,3786,2411.464968
Hemigrapsus,50,7,1.57,4143,2638.853503
Hemigrapsus,60,7,1.57,5132,3268.789809
Hemigrapsus,0,8,1.06,916,864.1509434
Hemigrapsus,10,8,1.06,1773,1672.641509
Hemigrapsus,20,8,1.06,2745,2589.622642
Hemigrapsus,30,8,1.06,3766,3552.830189
Hemigrapsus,40,8,1.06,4675,4410.377358
Hemigrapsus,50,8,1.06,4937,4657.54717
Hemigrapsus,60,8,1.06,6611,6236.792453
Hemigrapsus,0,9,1.86,915,491.9354839
Hemigrapsus,10,9,1.86,1949,1047.849462
Hemigrapsus,20,9,1.86,3180,1709.677419
Hemigrapsus,30,9,1.86,4298,2310.752688
Hemigrapsus,40,9,1.86,5433,2920.967742
Hemigrapsus,50,9,1.86,6082,3269.892473
Hemigrapsus,60,9,1.86,7212,3877.419355
Hemigrapsus,0,10,1.3,897,690
Hemigrapsus,10,10,1.3,1643,1263.846154
Hemigrapsus,20,10,1.3,2323,1786.923077
Hemigrapsus,30,10,1.3,3020,2323.076923
Hemigrapsus,40,10,1.3,3509,2699.230769
Hemigrapsus,50,10,1.3,4219,3245.384615
Hemigrapsus,60,10,1.3,4809,3699.230769
Blank,0,,8,864,108
Blank,10,,8,933,116.625
Blank,20,,8,954,119.25
Blank,30,,8,931,116.375
Blank,40,,8,901,112.625
Blank,50,,8,915,114.375
Blank,60,,8,928,116
Carcinus,0,11,194.8,851,4.368583162
Carcinus,10,11,194.8,1226,6.293634497
Carcinus,20,11,194.8,1533,7.869609856
Carcinus,30,11,194.8,1976,10.14373717
Carcinus,40,11,194.8,2537,13.02361396
Carcinus,50,11,194.8,2902,14.8973306
Carcinus,60,11,194.8,2932,15.0513347
Carcinus,0,12,208.5,866,4.153477218
Carcinus,10,12,208.5,1231,5.904076739
Carcinus,20,12,208.5,1709,8.196642686
Carcinus,30,12,208.5,1867,8.954436451
Carcinus,40,12,208.5,2319,11.12230216
Carcinus,50,12,208.5,2723,13.05995204
Carcinus,60,12,208.5,2957,14.1822542
Blank,0,,40,869,21.725
Blank,10,,40,990,24.75
Blank,20,,40,989,24.725
Blank,30,,40,997,24.925
Blank,40,,40,999,24.975
Blank,50,,40,955,23.875
Blank,60,,40,961,24.025
Blank,0,,40,920,23
Blank,10,,40,930,23.25
Blank,20,,40,953,23.825
Blank,30,,40,921,23.025
Blank,40,,40,911,22.775
Blank,50,,40,924,23.1
Blank,60,,40,932,23.3